smiles,compound_ID
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,192
Cc1ccc(O)c([C@@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,193
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,194
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,196
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,198
C=CCc1ccccc1OCC(O)CNC(C)C,199
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,200
CCOc1ccc(NC(C)=O)cc1,202
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,203
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,205
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,206
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,207
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,208
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,209
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,210
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,211
CN(C)CCC=C1c2ccccc2COc2ccccc21,212
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,213
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,214
CNCCCN1c2ccccc2CCc2ccccc21,215
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,216
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,217
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,218
C=CCOc1ccccc1OCC(O)CNC(C)C,219
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,220
